command_title,relative_path,status,parameter_images,usage_images,effect_images
点击图像,commands/mouse-keyboard/clickimagecommand.mdx,normalized,clickimagecommand-01.png;clickimagecommand-02.png,clickimagecommand-03.png;clickimagecommand-04.png;clickimagecommand-05.png,clickimagecommand-06.png
鼠标悬浮在图像上,commands/mouse-keyboard/hoverimagecommand.mdx,semantic_reclassified,hoverimagecommand-01.png;hoverimagecommand-02.png,hoverimagecommand-05.png;hoverimagecommand-07.png,hoverimagecommand-03.png;hoverimagecommand-04.png;hoverimagecommand-06.png;hoverimagecommand-08.png
键盘输入,commands/mouse-keyboard/keyboardinputcommand.mdx,normalized,keyboardinputcommand-01.png,keyboardinputcommand-02.png;keyboardinputcommand-04.png,keyboardinputcommand-03.png
滚动鼠标滚轮,commands/mouse-keyboard/mousescrollcommand.mdx,normalized,mousescrollcommand-01.png;mousescrollcommand-02.png,mousescrollcommand-03.png,
检查进程是否存在,commands/os/checkprocessexistcommand.mdx,normalized,checkprocessexistcommand-04.png,checkprocessexistcommand-01.png,checkprocessexistcommand-02.png;checkprocessexistcommand-03.png
压缩文件/文件夹,commands/os/compressfilecommand.mdx,normalized,compressfilecommand-01.png,compressfilecommand-02.png;compressfilecommand-03.png,compressfilecommand-04.png;compressfilecommand-05.png
复制文件,commands/os/copyfilecommand.mdx,normalized,copyfilecommand-03.png,copyfilecommand-04.png;copyfilecommand-01.png,copyfilecommand-02.png
复制文件夹,commands/os/copyfoldercommand.mdx,semantic_reclassified,copyfoldercommand-01.png,copyfoldercommand-03.png;copyfoldercommand-02.png,copyfoldercommand-04.png
创建文件夹,commands/os/createfoldercommand.mdx,normalized,createfoldercommand-04.png,createfoldercommand-01.png,createfoldercommand-03.png;createfoldercommand-05.png;createfoldercommand-02.png
解压缩文件/文件夹,commands/os/decompressfilecommand.mdx,semantic_reclassified,decompressfilecommand-03.png,decompressfilecommand-04.png;decompressfilecommand-01.png,decompressfilecommand-02.png;decompressfilecommand-05.png
删除文件,commands/os/deletefilecommand.mdx,normalized,deletefilecommand-02.png,deletefilecommand-04.png;deletefilecommand-03.png,deletefilecommand-01.png
运行DOS命令,commands/os/executedoscommand.mdx,semantic_reclassified,executedoscommand-01.png;executedoscommand-05.png,executedoscommand-02.png;executedoscommand-03.png,executedoscommand-04.png
获取当前日期时间,commands/os/getcurrentdatetimecommand.mdx,normalized,getcurrentdatetimecommand-02.png,getcurrentdatetimecommand-01.png,getcurrentdatetimecommand-03.png
读取文本文件内容,commands/os/getfilecontentcommand.mdx,normalized,getfilecontentcommand-04.png,getfilecontentcommand-02.png,getfilecontentcommand-03.png;getfilecontentcommand-01.png
获取文件路径信息,commands/os/getfilepathinfocommand.mdx,normalized,getfilepathinfocommand-01.png,getfilepathinfocommand-02.png;getfilepathinfocommand-03.png,getfilepathinfocommand-04.png
获取文件列表,commands/os/getfilescommand.mdx,semantic_reclassified,getfilescommand-01.png,getfilescommand-03.png;getfilescommand-02.png,getfilescommand-04.png;getfilescommand-05.png
终止进程,commands/os/killprocesscommand.mdx,normalized,killprocesscommand-04.png,killprocesscommand-03.png,killprocesscommand-02.png;killprocesscommand-01.png
移动文件,commands/os/movefilecommand.mdx,normalized,movefilecommand-03.png,movefilecommand-02.png;movefilecommand-04.png,movefilecommand-01.png
移动文件夹,commands/os/movefoldercommand.mdx,semantic_reclassified,movefoldercommand-01.png,movefoldercommand-04.png;movefoldercommand-02.png,movefoldercommand-03.png
文件重命名,commands/os/renamefilecommand.mdx,normalized,renamefilecommand-03.png,renamefilecommand-01.png,renamefilecommand-02.png
文件夹重命名,commands/os/renamefoldercommand.mdx,normalized,renamefoldercommand-03.png,renamefoldercommand-01.png,renamefoldercommand-02.png
添加内容到剪切板,commands/os/setclipboarddatacommand.mdx,normalized,setclipboarddatacommand-03.png,setclipboarddatacommand-01.png,setclipboarddatacommand-02.png
写入文本文件,commands/os/writefilecontentcommand.mdx,normalized,writefilecontentcommand-03.png,writefilecontentcommand-04.png;writefilecontentcommand-01.png,writefilecontentcommand-02.png
打印日志,commands/others/addlogmessagecommand.mdx,normalized,addlogmessagecommand-04.png,addlogmessagecommand-01.png;addlogmessagecommand-03.png,addlogmessagecommand-02.png
Catch,commands/others/catchcommand.mdx,normalized,catchcommand-02.png,catchcommand-03.png,catchcommand-01.png
注释,commands/others/commentcommand.mdx,normalized,commentcommand-03.png,commentcommand-02.png;commentcommand-01.png,commentcommand-04.png
EndTry,commands/others/endtrycommand.mdx,normalized,endtrycommand-03.png,endtrycommand-02.png,endtrycommand-01.png
执行Python代码,commands/others/executepythonmodulecommand.mdx,semantic_reclassified,executepythonmodulecommand-01.png,executepythonmodulecommand-03.png;executepythonmodulecommand-02.png,executepythonmodulecommand-04.png
Raise,commands/others/raisecommand.mdx,normalized,raisecommand-02.png,raisecommand-01.png;raisecommand-03.png,raisecommand-04.png
Http请求,commands/others/sendhttprequestcommand.mdx,semantic_reclassified,sendhttprequestcommand-01.png,sendhttprequestcommand-03.png;sendhttprequestcommand-02.png,sendhttprequestcommand-04.png
打开信息对话框,commands/others/showmessageboxcommand.mdx,normalized,showmessageboxcommand-01.png,showmessageboxcommand-02.png;showmessageboxcommand-03.png,showmessageboxcommand-04.png
显示消息通知,commands/others/showmessagetipscommand.mdx,normalized,showmessagetipscommand-03.png;showmessagetipscommand-05.png,showmessagetipscommand-01.png,showmessagetipscommand-02.png;showmessagetipscommand-04.png
打开选择文件对话框,commands/others/showopenfilecommand.mdx,semantic_reclassified,showopenfilecommand-01.png;showopenfilecommand-02.png,showopenfilecommand-04.png,showopenfilecommand-03.png;showopenfilecommand-05.png;showopenfilecommand-06.png
打开选择文件夹对话框,commands/others/showopenfoldercommand.mdx,semantic_reclassified,showopenfoldercommand-01.png;showopenfoldercommand-05.png,showopenfoldercommand-02.png,showopenfoldercommand-03.png;showopenfoldercommand-04.png
文本输入对话框,commands/others/showtextinputcommand.mdx,semantic_reclassified,showtextinputcommand-01.png,showtextinputcommand-04.png;showtextinputcommand-02.png;showtextinputcommand-03.png,showtextinputcommand-05.png
Try,commands/others/trycommand.mdx,normalized,trycommand-01.png,trycommand-02.png;trycommand-04.png,trycommand-03.png
异常处理指令(Try、Catch、EndTry),commands/others/zKl2eg.mdx,semantic_reclassified,,zKl2eg-04.png;zKl2eg-05.png;zKl2eg-06.png;zKl2eg-01.png;zKl2eg-02.png,zKl2eg-03.png
